dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.173000 0.683000 1.786000 -732441.978837 0.021701 439465.187302 8731069.891879 3064403.881548 906513.617574 647673.162425 0.682648 0.682648 398871421714217.125000 0.279514

0.173000 0.683000 1.786000 -0.500000 0.954724 0.300000 4610815.412962 2921498.878937 518117.733606 401729.899570 1000000.000000 0.475199 407561008610086.125000 0.280106

0.181650 0.683000 1.786000 -835380.011091 0.724756 501228.006655 5698436.318319 3062443.886229 702085.712891 519116.234750 0.598530 0.598530 408969522695227.000000 0.281669

0.181650 0.683000 1.786000 -708283.869713 0.995250 502793.981875 5153218.385510 2697964.824816 422608.799178 341185.396047 0.596666 0.596666 406976002760027.625000 0.281860

0.173000 0.717150 1.786000 -395803.419856 0.306206 323864.687829 2914087.464453 1745640.866868 242491.246928 198417.568035 0.612656 0.612656 411051543515435.125000 0.284876

0.173000 0.717150 1.786000 -448285.442340 0.941278 366748.307346 3452091.942055 2260398.282433 303689.084314 248452.095723 0.677446 0.677446 405715990159901.562500 0.284187

0.173000 0.683000 1.875300 -438283.683998 0.656785 372906.939154 6751787.948792 2255985.340808 296456.139086 252235.151470 0.676402 0.676402 404106474064740.625000 0.282374

0.173000 0.683000 1.875300 -487065.463959 0.967330 409961.961881 5914347.277295 2647020.393299 343915.304089 289472.777724 0.706097 0.706097 405970992709927.125000 0.281868

0.178767 0.705767 1.845533 -343080.328444 0.999959 291894.447189 2737132.981134 1757099.531121 187655.403733 159658.149399 0.546972 0.546972 406674499744997.437500 0.281850

0.177325 0.700075 1.830650 -442131.469661 0.387340 367347.490512 3300908.117242 2064045.872631 258534.360537 214804.769783 0.584745 0.584745 410595538955389.562500 0.284550

0.177325 0.700075 1.830650 -556415.919014 0.947378 455566.224466 4212628.731868 2511313.203711 348299.763936 285170.864126 0.625970 0.625970 405769990699907.000000 0.283899

0.181650 0.660233 1.875300 -727187.239414 0.326048 436312.343649 6437108.280850 4053510.724748 524723.959927 433310.685082 0.687581 0.687581 402465457654576.562500 0.280944

0.181650 0.660233 1.875300 -652017.094420 0.948037 483627.594500 5424092.745939 3004896.238761 404454.027335 334490.479458 0.620312 0.620312 407624009240092.375000 0.281582

0.187417 0.679206 1.786000 -835344.251490 0.924139 501206.550894 5456497.371497 3203817.368315 588446.130726 455625.223049 0.598556 0.598556 407823511235112.375000 0.282360

0.187417 0.679206 1.786000 -490198.070355 0.925110 432682.254973 6063563.637812 4200588.135579 329862.672068 291159.295421 0.672917 0.672917 405583988839888.437500 0.281585

0.183812 0.680154 1.808325 -824909.149848 0.912070 494945.489909 5286100.387335 2811979.060964 557565.485189 427659.640138 0.606127 0.606127 407913512135121.375000 0.282425

0.183812 0.680154 1.808325 -606419.710263 0.869789 425722.768494 6804339.584326 4104683.911892 427334.233784 366209.440969 0.704684 0.704684 405205985059850.625000 0.281388

0.187417 0.648850 1.815767 -816988.629245 0.696729 490193.177547 8170696.137198 4363211.894433 5742407.383556 1902151.266248 0.612004 0.612004 404295475954759.562500 0.279724

0.187417 0.648850 1.815767 -863246.639419 0.992843 517947.983652 7050690.449460 3894234.868648 732522.191541 566968.540991 0.579209 0.579209 406360996609966.125000 0.279491

0.192462 0.623237 1.808325 -885658.157814 0.675254 531394.894688 10287605.938548 5365259.476284 1401770.331949 1003036.949990 0.564552 0.564552 404193474934749.375000 0.277768
