dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.173000 0.683000 1.550000 -911593.202910 0.991039 546955.921746 4367000.827528 2685304.649889 1370628.907073 751326.418770 0.548490 0.548490 407079503795037.937500 0.274256

0.181650 0.683000 1.550000 -949807.291368 0.747365 569884.374821 5026260.112787 2778467.115335 1330879.695962 763214.010931 0.526423 0.526423 408858521585215.875000 0.275711

0.181650 0.683000 1.550000 -927938.356403 0.992329 556763.013842 4565802.383632 3111512.245589 1138906.419334 704998.888854 0.538829 0.538829 407051003510035.125000 0.275949

0.173000 0.717150 1.550000 -986657.626683 0.440355 591994.576010 2501653.161148 1761329.068509 811867.120741 454707.205038 0.506761 0.506761 410322536225362.250000 0.278407

0.173000 0.717150 1.550000 -927494.851677 0.989650 556496.911006 2552720.203045 1896788.094228 763693.094747 448758.000370 0.539087 0.539087 407108004080040.812500 0.278686

0.173000 0.683000 1.627500 -918458.068058 0.397588 551074.840835 3718065.524310 2496074.511779 896454.960608 560195.485601 0.544391 0.544391 402858461584615.875000 0.276054

0.173000 0.683000 1.627500 -956984.974013 0.995751 574190.984408 3458468.276534 2375601.229924 689111.342153 462698.256948 0.522474 0.522474 406438997389973.937500 0.275877

0.178767 0.705767 1.601667 -950313.565845 0.240134 570188.139507 2630816.450037 1908579.573904 734013.864035 441222.133808 0.526142 0.526142 411477547775477.750000 0.279118

0.178767 0.705767 1.601667 -840570.445482 0.983496 504342.267289 2736343.935342 2080476.036164 776076.199978 468462.270462 0.594834 0.594834 407216005160051.625000 0.279472

0.174442 0.688692 1.562917 -969315.483334 0.170458 581589.290000 4064327.120541 2465522.576308 1059946.830405 626927.698816 0.515828 0.515828 401379446794467.937500 0.275816

0.174442 0.688692 1.562917 -915586.787712 0.962406 549352.072627 4319273.546450 2737499.177168 1545071.994326 803835.026699 0.546098 0.546098 405916992169921.687500 0.275285

0.177325 0.700075 1.588750 -958054.440231 0.385080 574832.664138 3034095.724392 2220705.229890 842643.865904 508482.540279 0.521891 0.521891 410607539075390.750000 0.277930

0.177325 0.700075 1.588750 -940709.385592 0.996841 564425.631355 3250522.754499 2169880.059279 1067439.109882 586400.421060 0.531514 0.531514 406925002250022.500000 0.278083

0.181650 0.660233 1.627500 -935782.626081 0.298764 561469.575649 4164235.387437 3191319.967896 1010075.591769 647871.902136 0.534312 0.534312 402303456034560.375000 0.275077

0.181650 0.660233 1.627500 -922957.000688 0.989650 553774.200413 5396293.398886 3416072.448964 1617633.737722 912214.720222 0.541737 0.541737 406291995919959.250000 0.274801

0.175162 0.702921 1.569375 -981202.252415 0.346583 588721.351449 3232126.852920 2158995.641883 1013196.524296 568327.941487 0.509579 0.509579 410817541175411.750000 0.277583

0.175162 0.702921 1.569375 -949947.080066 0.996039 569968.248040 3002263.000520 2092264.800004 829729.558502 495971.464852 0.526345 0.526345 406952002520025.187500 0.277755

