dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.173000 0.625000 1.700000 -146115.517946 0.801322 17773.915568 63350.840833 32047.818070 153671.356520 18693.029696 1.051711 1.051711 404817481174811.750000 0.285672

0.173000 0.625000 1.700000 -148956.226963 0.999559 17036.391080 61089.025554 31276.944243 160179.900827 18320.062808 1.075349 1.075349 406784000840008.375000 0.285731

0.181650 0.625000 1.700000 -145637.820900 0.784133 17520.539366 62414.506440 31815.014769 154095.844974 18538.057637 1.058076 1.058076 408672519725197.250000 0.287116

0.181650 0.625000 1.700000 -136666.387293 0.998538 18226.129557 65007.280244 33727.054682 144303.577792 19244.642055 1.055882 1.055882 406546998469984.687500 0.287008

0.173000 0.656250 1.700000 -258378.767062 0.495361 38766.340859 148360.310466 68928.200828 266612.195682 40001.658699 1.031866 1.031866 410052533525335.250000 0.289374

0.173000 0.656250 1.700000 -290206.528184 0.993339 38648.866110 146236.065322 68183.193590 302669.622073 40308.664909 1.042946 1.042946 407027003270032.687500 0.289607

0.173000 0.625000 1.700000 -152980.219479 0.183735 17534.092213 62141.006055 32017.785548 163227.000904 18708.544773 1.066981 1.066981 401493447934479.375000 0.285899

0.173000 0.625000 1.700000 -147131.087208 0.995751 17741.911123 62029.640207 32051.373567 154113.778227 18583.924092 1.047459 1.047459 406438997389973.937500 0.285716

0.164350 0.645833 1.700000 -235846.089621 0.732136 27272.777866 100175.606853 49291.494272 252649.077132 29215.842289 1.071246 1.071246 408933522335223.375000 0.287285

0.164350 0.645833 1.700000 -198385.897330 0.984985 27752.579066 106695.894175 51084.136564 212393.986374 29712.197184 1.070610 1.070610 406207995079950.812500 0.286937

0.167233 0.659722 1.700000 -299660.201713 0.600934 38632.757550 144816.382279 69783.706799 318179.571991 41020.309643 1.061801 1.061801 409554528545285.500000 0.288951

0.167233 0.659722 1.700000 -267197.884752 0.999388 38806.919342 150507.392305 70254.128794 281887.655983 40940.412157 1.054977 1.054977 406799000990009.937500 0.289022

0.163389 0.682870 1.700000 -278056.817930 0.505354 52806.131659 224816.021728 101344.051348 297972.711542 56588.384897 1.071625 1.071625 410004533045330.500000 0.291370

0.163389 0.682870 1.700000 -327151.669026 0.986230 58545.237190 235380.413319 107005.848875 337509.766705 60398.864552 1.031661 1.031661 407171004710047.125000 0.291708

0.158583 0.711806 1.700000 -348064.046423 0.274737 68301.478395 296550.322355 134218.996278 378466.222606 74267.373468 1.087346 1.087346 411246545465454.625000 0.294969

0.158583 0.711806 1.700000 -347529.337558 0.990393 69778.614678 315224.043798 142027.065182 389734.216702 78252.713642 1.121443 1.121443 407093003930039.250000 0.295254

0.168194 0.706019 1.700000 -365350.473005 0.900563 77842.512300 350521.719417 154518.223600 396097.355588 84393.522255 1.084157 1.084157 407994512945129.500000 0.296193

0.168194 0.706019 1.700000 -400549.529423 0.993934 79988.589208 347310.494919 152873.468573 425405.233982 84952.201934 1.062054 1.062054 406387996879968.875000 0.295966

0.170117 0.736111 1.700000 -301155.254254 0.060897 91089.706079 405905.285661 188577.948345 296935.097081 89813.245279 0.985987 0.985987 413391566915669.125000 0.300836

